Parameters,Description,Default Values,Required
resources.requests.ephemeral_storage,Specifies an ephemeral storage request for the container.,,No
resources.limits.ephemeral_storage,Specifies an ephemeral storage limit for the container.,,No
ban_secret_name,Contains the information about the LDAP user and password for components.,"""{{ meta.name }}-ban-ext-tls-secret""",Yes
route_ingress_annotations,"By default all the components create ingress and routes with required annotations. In case any custom annotation is needed for the environment, use this parameter to specify the annotations.",- haproxy.router.openshift.io/balance: roundrobin,No
ban_ext_tls_secret_name,"If you create a tls secret, use this parameter to specify it for IBM Content Navigator. Otherwise the operator creates one for you.","""{{ meta.name }}-ban-ext-tls-secret""",No
ban_auth_ca_secret_name,"If you create a ca secret, use this parameter to specify it for IBM Content Navigator. Otherwise the operator creates one for you.","""{{ meta.name }}-ban-auth-ca-secret""",No
arch.amd64,The architecture for your environment.,3 - Most preferred,"Yes, leave default"
replica_count,How many Content Platform Engine replicas to deploy.,2,No
image.repository,The repository to use.,cp.cir.io/cp/cp4a/ban/navigator-sso,No
image.tag,The specific tag for your release.,ga-30x-icn,No
image.pull_policy,The pull policy for the image.,IfNotPresent,No
log.format,The format for workload logging.,json,No
resources.requests.cpu,Specifies a CPU request for the container.,500m,No
resource.requests.memory,Specify a memory request for the container.,512Mi,No
resource.limits.cpu,Specify a CPU limit for the container.,1,No
resource.limits.memory,Specify a memory limit for the container.,3072Mi,No
auto_scaling.enabled,Specify whether to enable auto scaling.,FALSE,No
auto_scaling.max_replicas,The upper limit for the number of pods that can be set by the autoscaler. Required.,3,No
auto_scaling.min_replicas,"The lower limit for the number of pods that can be set by the autoscaler. If it is not specified or negative, the server will apply a default value.",2,No
auto_scaling.target_cpu_utilization_percentage,"The target average CPU utilization (represented as a percent of requested CPU) over all the pods. If it is not specified or negative, a default autoscaling policy is used.",80,No
java_mail.host,Specify the host of the mail session.,fncm-exchange1.example.com,No
node_affinity.custom_node_selector_match_expression,Added in node selector match expressions. It accepts array list inputs. You can assign multiple selector match expressions except (kubernetes.io/arch).,- key: kubernetes.io/hostname,No
,"Note: This can be overwritten by the component level definition, for example navigator_configuration.node_affinity.custom_node_selector_match_expression.",  operator: In,
,,  values:,
,,    - worker0,
,,    - worker1,
,,    - worker3,
custom_annotations,Values in this field are used as annotations in all generated pods. They must be valid annotation key-value pairs.,customAnnotationKey: customAnnotationValue,No
custom_labels,Values in this field are used as labels in all generated pods. They must be valid label key-value pairs.,customLabelKey: customLabelValue,No
java_mail.port,Specify the port to use with the mail session host.,25,No
java_mail.sender,"For sender, enter a user that has access to the email server to log on.",MailAdmin@fncmexchange.com,No
java_mail.ssl_enabled,Specify whether SSL is enabled.,FALSE,No
probe.startup.initial_delay_seconds,The behavior of startup probes to know when the container is started.,120,No
probe.startup.period_seconds,The period in seconds.,10,No
probe.startup.timeout_seconds,The timeout setting in seconds.,10,No
probe.startup.failure_threshold,The threshold number for failures.,6,No
icn_production_setting.custom_env_var,Set the environment variables.,anyValue,No
icn_production_setting.custom_configmap.name,The name of the custom configmap.,custom-navigator-config-files,Yes
,,,
,"Note that, a configmap can hold files or environment data but it cannot a mix of both. The volume_path is optional for a configmap that holds files as its data. If a volume_path is not specified, the files is mounted to the Liberty configuration (cfgstore) mapped location. If the configmap data holds environment variables then must set is_env to true.",,
icn_production_setting.custom_configmap.volume_path,The location you want to hold files in.,,No
icn_production_setting.custom_configmap.is_env,Specify whether the config map holds environment variables.,FALSE,No
icn_production_setting.timezone,The time zone for the container deployment.,Etc/UTC,No
icn_production_setting.gdfontpath,Customized font path for multi-language support. You need to place all used font files into this path,/opt/ibm/java/jre/lib/fonts,No
icn_production_setting.jvm_initial_heap_percentage,The initial use of available memory.,40,No
icn_production_setting.jvm_max_heap_percentage,The maximum percentage of available memory to use.,66,No
icn_production_setting.jvm_customize_options,Optionally specify JVM arguments using comma separation. For example:,None,No
,,,
,"jvm_customize_options=""-Dmy.test.jvm.arg1=123,-Dmy.test.jvm.arg2=abc,-XX:+SomeJVMSettings,XshowSettings:vm""",,
,,,
,"If needed, you can use DELIM to change the character that is used to separate multiple JVM arguments. In this example, a semi-colon is used to separate the JVM arguments:",,
,,,
,"jvm_customize_options=""DELIM=;-Dcom.filenet.authentication.wsi.AutoDetectAuthToken=true;-Dcom.filenet.authentication.providers=ExShareUmsInternal,ExShareIbmId,ExShareGID""",,
icn_production_setting.icn_jndids_name,Name for the Navigator JNDI datasource.,ECMClientDS,No
icn_production_setting.icn_schema,Schema for IBM Content Navigator.,ICNDB,No
icn_production_setting.icn_table_space,Table space for IBM Content Navigator.,ICNDB,No
icn_production_setting.allow_remote_plugins_via_http,It is recommended not to change this setting.,TRUE,No
monitor_enabled,Specify whether to use the built-in monitoring capability.,FALSE,No
logging_enabled,Specify whether to use the built-in logging capability.,FALSE,No
